idade,qx
0,0.010920
1,0.000680
2,0.000400
3,0.000320
4,0.000270
5,0.000230
6,0.000210
7,0.000190
8,0.000170
9,0.000160
10,0.000150
11,0.000150
12,0.000160
13,0.000180
14,0.000220
15,0.000280
16,0.000350
17,0.000420
18,0.000490
19,0.000560
20,0.000630
21,0.000690
22,0.000750
23,0.000800
24,0.000850
25,0.000900
26,0.000950
27,0.001000
28,0.001060
29,0.001130
30,0.001200
31,0.001290
32,0.001390
33,0.001500
34,0.001630
35,0.001780
36,0.001950
37,0.002140
38,0.002360
39,0.002610
40,0.002890
41,0.003210
42,0.003570
43,0.003970
44,0.004420
45,0.004920
46,0.005480
47,0.006100
48,0.006790
49,0.007550
50,0.008390
51,0.009320
52,0.010340
53,0.011470
54,0.012710
55,0.014080
56,0.015590
57,0.017250
58,0.019080
59,0.021090
60,0.023300
61,0.025730
62,0.028390
63,0.031300
64,0.034480
65,0.037950
66,0.041730
67,0.045850
68,0.050320
69,0.055170
70,0.060420
71,0.066100
72,0.072240
73,0.078860
74,0.085990
75,0.093660
76,0.101900
77,0.110740
78,0.120210
79,0.130350
80,0.141190
81,0.152770
82,0.165130
83,0.178310
84,0.192350
85,0.207280
86,0.223150
87,0.240000
88,0.257870
89,0.276800
90,0.296830
91,0.318000
92,0.340350
93,0.363920
94,0.388750
95,0.414880
96,0.442350
97,0.471200
98,0.501470
99,0.533200
100,0.566430
101,0.601200
102,0.637550
103,0.675520
104,0.715150
105,0.756480
106,0.799550
107,0.844400
108,0.891070
109,0.939600
110,1.000000
